,label,x,y,w,h
1,1,0.60599,0.327315,0.0744792,0.20463
3,1,0.60599,0.327778,0.0744792,0.205556
5,1,0.60599,0.327778,0.0744792,0.205556
7,1,0.60599,0.327778,0.0744792,0.205556
9,1,0.60599,0.327778,0.0744792,0.205556
11,1,0.60599,0.328241,0.0744792,0.20463
13,1,0.60599,0.327778,0.0744792,0.205556
15,1,0.60599,0.327315,0.0744792,0.20463
17,1,0.60599,0.327778,0.0744792,0.205556
19,1,0.60599,0.327315,0.0744792,0.20463
21,1,0.60599,0.327315,0.0744792,0.20463
23,1,0.60599,0.327778,0.0744792,0.205556
25,1,0.60599,0.328241,0.0744792,0.20463
27,1,0.60599,0.327315,0.0744792,0.20463
29,1,0.60599,0.327315,0.0744792,0.20463
31,1,0.60599,0.327778,0.0744792,0.205556
33,1,0.60599,0.328241,0.0744792,0.20463
35,1,0.60599,0.327315,0.0744792,0.20463
37,1,0.60625,0.327315,0.075,0.20463
39,1,0.60599,0.327778,0.0744792,0.205556
41,1,0.60599,0.327778,0.0744792,0.205556
43,1,0.60599,0.327778,0.0744792,0.205556
45,1,0.60599,0.327778,0.0744792,0.205556
47,1,0.60599,0.328241,0.0744792,0.20463
49,1,0.60599,0.327778,0.0744792,0.205556
51,1,0.60599,0.327778,0.0744792,0.205556
53,1,0.60599,0.327778,0.0744792,0.205556
55,1,0.60599,0.327778,0.0744792,0.205556
57,1,0.60625,0.328241,0.075,0.20463
59,1,0.60599,0.327778,0.0744792,0.205556
61,1,0.60599,0.327778,0.0744792,0.205556
63,1,0.60599,0.327315,0.0744792,0.20463
65,1,0.60599,0.327315,0.0744792,0.20463
67,1,0.60599,0.327778,0.0744792,0.205556
69,1,0.60599,0.327778,0.0744792,0.205556
71,1,0.60599,0.327778,0.0744792,0.205556
73,1,0.60625,0.327315,0.075,0.20463
75,1,0.60599,0.327778,0.0744792,0.205556
77,1,0.60599,0.327778,0.0744792,0.205556
79,1,0.60599,0.327778,0.0744792,0.205556
81,1,0.60599,0.328241,0.0744792,0.20463
83,1,0.60599,0.327778,0.0744792,0.205556
85,1,0.60599,0.327778,0.0744792,0.205556
87,1,0.60599,0.327315,0.0744792,0.20463
89,1,0.60599,0.327778,0.0744792,0.205556
91,1,0.60599,0.327778,0.0744792,0.205556
93,1,0.60599,0.327315,0.0744792,0.20463
95,1,0.60599,0.327778,0.0744792,0.205556
97,1,0.60599,0.327315,0.0744792,0.20463
99,1,0.60599,0.327778,0.0744792,0.205556
101,1,0.60599,0.328241,0.0744792,0.20463
103,1,0.60599,0.327315,0.0744792,0.20463
105,1,0.60599,0.327315,0.0744792,0.20463
107,1,0.60625,0.327778,0.075,0.205556
109,1,0.60599,0.327778,0.0744792,0.205556
111,1,0.60599,0.328241,0.0744792,0.20463
113,1,0.60599,0.327778,0.0744792,0.205556
115,1,0.60599,0.327778,0.0744792,0.205556
117,1,0.60625,0.327778,0.075,0.205556
119,1,0.60599,0.327315,0.0744792,0.20463
121,1,0.60599,0.327778,0.0744792,0.205556
123,1,0.60625,0.327315,0.075,0.20463
125,1,0.60599,0.327315,0.0744792,0.20463
127,1,0.60599,0.327778,0.0744792,0.205556
129,1,0.60599,0.328241,0.0744792,0.20463
131,1,0.60625,0.327315,0.075,0.20463
133,1,0.60599,0.327778,0.0744792,0.205556
135,1,0.60599,0.327315,0.0744792,0.20463
137,1,0.60599,0.327778,0.0744792,0.205556
139,1,0.60599,0.327778,0.0744792,0.205556
141,1,0.60599,0.327315,0.0744792,0.20463
143,1,0.60599,0.327315,0.0744792,0.20463
145,1,0.60599,0.327315,0.0744792,0.20463
147,1,0.60599,0.328241,0.0744792,0.20463
149,1,0.60599,0.327315,0.0744792,0.20463
151,1,0.60599,0.327315,0.0744792,0.20463
153,1,0.60599,0.327778,0.0744792,0.205556
155,1,0.60599,0.327778,0.0744792,0.205556
157,1,0.60599,0.327778,0.0744792,0.205556
159,1,0.60599,0.327315,0.0744792,0.20463
161,1,0.60599,0.327315,0.0744792,0.20463
163,1,0.60599,0.327778,0.0744792,0.205556
165,1,0.60599,0.327778,0.0744792,0.205556
167,1,0.60599,0.327778,0.0744792,0.205556
169,1,0.60599,0.327315,0.0744792,0.20463
171,1,0.60599,0.327778,0.0744792,0.205556
173,1,0.60599,0.327778,0.0744792,0.205556
175,1,0.60599,0.327778,0.0744792,0.205556
177,1,0.60599,0.327778,0.0744792,0.205556
179,1,0.60599,0.327315,0.0744792,0.20463
181,1,0.60625,0.327778,0.075,0.205556
183,1,0.60599,0.327778,0.0744792,0.205556
185,1,0.60599,0.327778,0.0744792,0.205556
187,1,0.60599,0.327315,0.0744792,0.20463
189,1,0.60599,0.327315,0.0744792,0.20463
191,1,0.60599,0.327778,0.0744792,0.205556
193,1,0.60599,0.327778,0.0744792,0.205556
195,1,0.60599,0.327778,0.0744792,0.205556
197,1,0.60625,0.328241,0.075,0.20463
199,1,0.60625,0.327778,0.075,0.205556
201,1,0.60625,0.327315,0.075,0.20463
203,1,0.60599,0.327778,0.0744792,0.205556
205,1,0.60599,0.327778,0.0744792,0.205556
207,1,0.60599,0.327778,0.0744792,0.205556
209,1,0.60599,0.327315,0.0744792,0.20463
211,1,0.60599,0.328241,0.0744792,0.20463
213,1,0.60599,0.327315,0.0744792,0.20463
215,1,0.60599,0.327778,0.0744792,0.205556
217,1,0.60599,0.327315,0.0744792,0.20463
219,1,0.60599,0.327778,0.0744792,0.205556
221,1,0.60599,0.327778,0.0744792,0.205556
223,1,0.60599,0.327778,0.0744792,0.205556
225,1,0.60599,0.327315,0.0744792,0.20463
