,label,x,y,w,h
0,0,0.353125,0.314815,0.096875,0.22963
2,0,0.353125,0.315278,0.096875,0.228704
4,0,0.353125,0.315278,0.096875,0.228704
6,0,0.352865,0.315278,0.0963542,0.228704
8,0,0.353125,0.314815,0.096875,0.22963
10,0,0.352865,0.314815,0.0963542,0.22963
12,0,0.353125,0.315278,0.096875,0.228704
14,0,0.353125,0.315278,0.096875,0.228704
16,0,0.353125,0.315278,0.096875,0.228704
18,0,0.353125,0.315278,0.096875,0.228704
20,0,0.352865,0.314815,0.0973958,0.22963
22,0,0.352865,0.315278,0.0973958,0.230556
24,0,0.353125,0.315278,0.096875,0.228704
26,0,0.353125,0.314815,0.096875,0.22963
28,0,0.353125,0.315741,0.096875,0.22963
30,0,0.353125,0.315278,0.096875,0.228704
32,0,0.352865,0.315278,0.0963542,0.228704
34,0,0.352865,0.315278,0.0963542,0.228704
36,0,0.353125,0.315278,0.096875,0.230556
38,0,0.352865,0.315278,0.0963542,0.230556
40,0,0.352865,0.315278,0.0963542,0.228704
42,0,0.353125,0.315278,0.096875,0.228704
44,0,0.353125,0.315278,0.096875,0.228704
46,0,0.352865,0.315278,0.0963542,0.228704
48,0,0.352865,0.314815,0.0963542,0.22963
50,0,0.353125,0.315278,0.096875,0.228704
52,0,0.353125,0.315278,0.096875,0.228704
54,0,0.353125,0.314815,0.096875,0.22963
56,0,0.352865,0.315278,0.0963542,0.230556
58,0,0.353125,0.315278,0.096875,0.228704
60,0,0.353125,0.314815,0.096875,0.22963
62,0,0.352865,0.315278,0.0963542,0.228704
64,0,0.353125,0.315278,0.096875,0.228704
66,0,0.353125,0.315278,0.096875,0.228704
68,0,0.353125,0.314815,0.096875,0.22963
70,0,0.353125,0.315278,0.096875,0.228704
72,0,0.352865,0.315278,0.0963542,0.228704
74,0,0.353125,0.315278,0.096875,0.230556
76,0,0.353125,0.315741,0.096875,0.22963
78,0,0.352865,0.315278,0.0963542,0.228704
80,0,0.353125,0.315278,0.096875,0.228704
82,0,0.353125,0.315278,0.096875,0.228704
84,0,0.353125,0.315278,0.096875,0.228704
86,0,0.352604,0.315278,0.096875,0.228704
88,0,0.353125,0.315278,0.096875,0.228704
90,0,0.353125,0.314815,0.096875,0.22963
92,0,0.353125,0.315278,0.096875,0.228704
94,0,0.352865,0.315278,0.0963542,0.228704
96,0,0.352865,0.315278,0.0963542,0.228704
98,0,0.353125,0.314815,0.096875,0.22963
100,0,0.352865,0.315278,0.0963542,0.228704
102,0,0.352865,0.315278,0.0963542,0.228704
104,0,0.353125,0.315278,0.096875,0.228704
106,0,0.352865,0.314815,0.0963542,0.22963
108,0,0.352865,0.314815,0.0963542,0.22963
110,0,0.352865,0.315278,0.0963542,0.228704
112,0,0.353125,0.315278,0.096875,0.230556
114,0,0.352865,0.315278,0.0963542,0.228704
116,0,0.353125,0.314815,0.096875,0.22963
118,0,0.353125,0.315278,0.096875,0.228704
120,0,0.353125,0.315278,0.096875,0.228704
122,0,0.353125,0.315741,0.096875,0.22963
124,0,0.352865,0.314815,0.0963542,0.22963
126,0,0.352865,0.315278,0.0963542,0.230556
128,0,0.352865,0.315741,0.0963542,0.22963
130,0,0.353125,0.315278,0.096875,0.228704
132,0,0.352865,0.315278,0.0963542,0.228704
134,0,0.353125,0.314815,0.096875,0.22963
136,0,0.353125,0.315278,0.096875,0.228704
