,label,x,y,w,h
1,1,0.527604,0.551389,0.0739583,0.19537
3,1,0.527604,0.551852,0.0739583,0.194444
5,1,0.527604,0.551389,0.0739583,0.19537
7,1,0.527344,0.551389,0.0734375,0.19537
9,1,0.527344,0.551852,0.0734375,0.194444
11,1,0.527604,0.551852,0.0739583,0.194444
13,1,0.527604,0.550926,0.0739583,0.194444
15,1,0.527604,0.551852,0.0739583,0.194444
17,1,0.527604,0.551389,0.0739583,0.19537
19,1,0.527344,0.551389,0.0734375,0.19537
21,1,0.527604,0.551852,0.0739583,0.194444
23,1,0.527604,0.551389,0.0739583,0.19537
25,1,0.527604,0.551852,0.0739583,0.194444
27,1,0.527604,0.551389,0.0739583,0.19537
29,1,0.527344,0.551389,0.0734375,0.19537
31,1,0.527604,0.551852,0.0739583,0.194444
33,1,0.527604,0.551852,0.0739583,0.194444
35,1,0.527344,0.551852,0.0734375,0.194444
37,1,0.527344,0.551852,0.0734375,0.194444
39,1,0.527604,0.551852,0.0739583,0.194444
41,1,0.527604,0.551852,0.0739583,0.194444
43,1,0.527604,0.551852,0.0739583,0.194444
45,1,0.527344,0.551852,0.0734375,0.194444
47,1,0.527604,0.551852,0.0739583,0.194444
49,1,0.527344,0.551852,0.0734375,0.194444
51,1,0.527344,0.551852,0.0734375,0.194444
53,1,0.527344,0.551852,0.0734375,0.194444
55,1,0.527604,0.551852,0.0739583,0.194444
57,1,0.527604,0.551852,0.0739583,0.194444
59,1,0.527604,0.551852,0.0739583,0.194444
61,1,0.527604,0.551852,0.0739583,0.194444
63,1,0.527604,0.551852,0.0739583,0.194444
65,1,0.527604,0.551852,0.0739583,0.194444
67,1,0.527604,0.551852,0.0739583,0.194444
69,1,0.527604,0.551852,0.0739583,0.194444
71,1,0.527604,0.551852,0.0739583,0.194444
73,1,0.527604,0.551852,0.0739583,0.194444
75,1,0.527604,0.551852,0.0739583,0.196296
77,1,0.527604,0.551852,0.0739583,0.194444
79,1,0.527604,0.552315,0.0739583,0.19537
81,1,0.527604,0.552315,0.0739583,0.19537
83,1,0.527604,0.552315,0.0739583,0.19537
85,1,0.527604,0.552315,0.0739583,0.19537
87,1,0.527604,0.552315,0.0739583,0.19537
89,1,0.527604,0.552778,0.0739583,0.196296
91,1,0.527604,0.552315,0.0739583,0.19537
93,1,0.527865,0.551852,0.0744792,0.196296
95,1,0.527604,0.552315,0.0739583,0.19537
97,1,0.527604,0.551852,0.0739583,0.196296
99,1,0.527344,0.552315,0.0744792,0.19537
101,1,0.527604,0.552315,0.0739583,0.197222
103,1,0.527604,0.552315,0.0739583,0.19537
105,1,0.527344,0.552315,0.0744792,0.19537
107,1,0.527344,0.551852,0.0744792,0.196296
109,1,0.527344,0.552315,0.0744792,0.19537
111,1,0.527865,0.551852,0.0744792,0.196296
113,1,0.527604,0.552315,0.0739583,0.19537
115,1,0.527344,0.551852,0.0744792,0.196296
117,1,0.527604,0.552315,0.0739583,0.19537
119,1,0.527865,0.551852,0.0744792,0.196296
121,1,0.527604,0.551852,0.075,0.196296
123,1,0.527604,0.551852,0.075,0.196296
125,1,0.527344,0.552315,0.0744792,0.19537
127,1,0.527344,0.551852,0.0744792,0.196296
129,1,0.527344,0.551852,0.0744792,0.196296
131,1,0.527344,0.551852,0.0744792,0.196296
133,1,0.527604,0.551852,0.0739583,0.196296
135,1,0.527604,0.551852,0.0739583,0.196296
137,1,0.527604,0.551852,0.0739583,0.196296
139,1,0.527344,0.551852,0.0744792,0.196296
141,1,0.527344,0.551852,0.0744792,0.196296
143,1,0.527344,0.552315,0.0744792,0.197222
145,1,0.527344,0.551389,0.0744792,0.197222
147,1,0.527344,0.551852,0.0744792,0.196296
149,1,0.527344,0.551389,0.0744792,0.197222
151,1,0.527604,0.551852,0.0739583,0.196296
153,1,0.527604,0.551852,0.0739583,0.196296
155,1,0.527344,0.551852,0.0744792,0.196296
157,1,0.527344,0.551852,0.0744792,0.196296
159,1,0.527344,0.552315,0.0744792,0.197222
161,1,0.527344,0.551852,0.0744792,0.196296
163,1,0.527344,0.552315,0.0744792,0.197222
165,1,0.527604,0.551852,0.0739583,0.196296
167,1,0.527344,0.551852,0.0744792,0.196296
169,1,0.527344,0.551852,0.0744792,0.196296
171,1,0.527604,0.551852,0.0739583,0.196296
173,1,0.527344,0.552315,0.0744792,0.197222
175,1,0.527344,0.551852,0.0744792,0.196296
177,1,0.527344,0.551852,0.0744792,0.196296
179,1,0.527344,0.551852,0.0744792,0.196296
181,1,0.527344,0.551852,0.0734375,0.196296
183,1,0.527344,0.551852,0.0744792,0.196296
185,1,0.527344,0.551852,0.0744792,0.196296
187,1,0.527344,0.551852,0.0744792,0.196296
189,1,0.527344,0.552315,0.0744792,0.197222
191,1,0.527604,0.551852,0.0739583,0.196296
193,1,0.527344,0.551852,0.0744792,0.196296
195,1,0.527344,0.551852,0.0744792,0.196296
197,1,0.527344,0.551852,0.0744792,0.196296
199,1,0.527344,0.551852,0.0744792,0.196296
201,1,0.527344,0.552315,0.0744792,0.197222
203,1,0.527344,0.551852,0.0744792,0.196296
205,1,0.527344,0.551852,0.0744792,0.196296
207,1,0.527344,0.551852,0.0744792,0.196296
209,1,0.527344,0.552315,0.0744792,0.197222
211,1,0.527344,0.552315,0.0744792,0.197222
213,1,0.527344,0.551852,0.0744792,0.196296
215,1,0.527604,0.552315,0.0739583,0.197222
217,1,0.527344,0.551852,0.0744792,0.196296
219,1,0.527083,0.551852,0.0739583,0.196296
221,1,0.527344,0.551852,0.0744792,0.196296
223,1,0.527344,0.552315,0.0744792,0.197222
225,1,0.527344,0.552315,0.0744792,0.197222
227,1,0.527344,0.551852,0.0744792,0.196296
229,1,0.527344,0.551852,0.0744792,0.196296
231,1,0.527344,0.552315,0.0744792,0.197222
233,1,0.527344,0.551852,0.0744792,0.196296
235,1,0.527344,0.551852,0.0744792,0.196296
237,1,0.527344,0.551852,0.0744792,0.196296
239,1,0.527344,0.551852,0.0744792,0.196296
241,1,0.527604,0.551852,0.0739583,0.196296
243,1,0.527344,0.551852,0.0744792,0.196296
245,1,0.527604,0.551852,0.0739583,0.196296
247,1,0.527344,0.551852,0.0744792,0.196296
249,1,0.527344,0.551852,0.0744792,0.196296
251,1,0.527344,0.552315,0.0744792,0.197222
253,1,0.527344,0.551852,0.0744792,0.196296
255,1,0.527344,0.552315,0.0744792,0.197222
257,1,0.527344,0.551852,0.0744792,0.196296
259,1,0.527344,0.551852,0.0744792,0.196296
261,1,0.527344,0.551852,0.0744792,0.196296
263,1,0.527604,0.551852,0.0739583,0.196296
265,1,0.527344,0.551852,0.0744792,0.196296
267,1,0.527344,0.551852,0.0744792,0.196296
269,1,0.527344,0.551852,0.0744792,0.196296
271,1,0.527604,0.551852,0.0739583,0.196296
273,1,0.527344,0.552315,0.0744792,0.197222
275,1,0.527344,0.551852,0.0744792,0.196296
277,1,0.527344,0.551852,0.0744792,0.196296
279,1,0.527604,0.551852,0.0739583,0.196296
281,1,0.527344,0.551852,0.0744792,0.196296
283,1,0.527344,0.551852,0.0744792,0.196296
285,1,0.527083,0.552315,0.0739583,0.19537
287,1,0.527344,0.551852,0.0744792,0.196296
289,1,0.527604,0.551852,0.0739583,0.196296
291,1,0.527344,0.551852,0.0744792,0.196296
293,1,0.527604,0.551852,0.0739583,0.196296
295,1,0.527604,0.551852,0.0739583,0.196296
297,1,0.527604,0.551852,0.0739583,0.196296
299,1,0.527344,0.551852,0.0744792,0.196296
301,1,0.527604,0.551852,0.0739583,0.196296
303,1,0.527344,0.552315,0.0744792,0.19537
305,1,0.527604,0.551852,0.0739583,0.196296
307,1,0.527344,0.552315,0.0744792,0.19537
309,1,0.527083,0.552315,0.0739583,0.197222
311,1,0.527344,0.552315,0.0744792,0.19537
