,label,x,y,w,h
0,0,0.440104,0.309722,0.0833333,0.197222
2,0,0.439844,0.309722,0.0838542,0.197222
4,0,0.440104,0.309259,0.0833333,0.198148
6,0,0.440104,0.309722,0.0833333,0.199074
8,0,0.439844,0.309259,0.0838542,0.198148
10,0,0.440104,0.310185,0.0833333,0.198148
12,0,0.440104,0.309259,0.0833333,0.198148
14,0,0.440104,0.309259,0.0833333,0.198148
16,0,0.440104,0.309259,0.0833333,0.198148
18,0,0.440104,0.309259,0.0833333,0.198148
20,0,0.440104,0.309259,0.0833333,0.198148
22,0,0.440104,0.309259,0.0833333,0.198148
24,0,0.440104,0.309722,0.0833333,0.199074
26,0,0.439583,0.309259,0.0833333,0.2
28,0,0.440104,0.309722,0.0833333,0.197222
30,0,0.440104,0.309722,0.0833333,0.199074
32,0,0.440104,0.309259,0.0833333,0.198148
34,0,0.440104,0.309259,0.0833333,0.198148
36,0,0.439844,0.309722,0.0838542,0.197222
38,0,0.440104,0.309722,0.0833333,0.199074
40,0,0.440104,0.309722,0.0833333,0.197222
42,0,0.439844,0.309722,0.0838542,0.197222
44,0,0.440104,0.310185,0.0833333,0.198148
46,0,0.440104,0.309722,0.0833333,0.199074
48,0,0.440104,0.309722,0.0833333,0.199074
50,0,0.440104,0.309722,0.0833333,0.199074
52,0,0.440104,0.309259,0.0833333,0.198148
54,0,0.440104,0.309722,0.0833333,0.197222
56,0,0.440104,0.309722,0.0833333,0.199074
58,0,0.440104,0.309722,0.0833333,0.199074
60,0,0.440104,0.309259,0.0833333,0.198148
62,0,0.440104,0.309259,0.0833333,0.198148
64,0,0.439844,0.309722,0.0838542,0.199074
66,0,0.440104,0.310185,0.0833333,0.198148
68,0,0.440104,0.309722,0.0833333,0.199074
70,0,0.440104,0.309259,0.0833333,0.198148
72,0,0.440104,0.309259,0.0833333,0.198148
74,0,0.440104,0.309722,0.0833333,0.197222
76,0,0.440104,0.309259,0.0833333,0.198148
78,0,0.440104,0.309722,0.0833333,0.197222
80,0,0.439844,0.309259,0.0838542,0.198148
82,0,0.440104,0.309722,0.0833333,0.197222
84,0,0.440104,0.309722,0.0833333,0.197222
86,0,0.440104,0.309259,0.0833333,0.198148
88,0,0.440104,0.309722,0.0833333,0.197222
90,0,0.440104,0.310185,0.0833333,0.198148
92,0,0.440104,0.309722,0.0833333,0.197222
94,0,0.440104,0.309722,0.0833333,0.199074
96,0,0.440104,0.309722,0.0833333,0.197222
98,0,0.440104,0.310185,0.0833333,0.198148
100,0,0.440104,0.309259,0.0833333,0.198148
102,0,0.439844,0.310185,0.0838542,0.198148
104,0,0.439583,0.309722,0.0833333,0.197222
106,0,0.439844,0.309259,0.0838542,0.198148
108,0,0.440104,0.309722,0.0833333,0.197222
110,0,0.440104,0.309722,0.0833333,0.199074
112,0,0.440104,0.309259,0.0833333,0.198148
114,0,0.439844,0.309722,0.0838542,0.197222
116,0,0.440104,0.310185,0.0833333,0.198148
118,0,0.440104,0.309722,0.0833333,0.197222
120,0,0.439844,0.309722,0.0838542,0.197222
122,0,0.440104,0.309722,0.084375,0.199074
124,0,0.440104,0.309722,0.0833333,0.197222
126,0,0.440104,0.309259,0.0833333,0.198148
128,0,0.439844,0.309722,0.0838542,0.199074
130,0,0.440104,0.310185,0.0833333,0.198148
132,0,0.440104,0.309259,0.0833333,0.198148
134,0,0.440104,0.309722,0.0833333,0.199074
136,0,0.440104,0.309259,0.0833333,0.198148
138,0,0.440104,0.309722,0.0833333,0.199074
140,0,0.439844,0.309259,0.0838542,0.198148
142,0,0.440104,0.310185,0.0833333,0.198148
144,0,0.440104,0.309722,0.0833333,0.197222
146,0,0.440104,0.309722,0.0833333,0.199074
148,0,0.440104,0.309722,0.0833333,0.197222
150,0,0.440104,0.310185,0.0833333,0.198148
152,0,0.440104,0.309722,0.0833333,0.199074
154,0,0.440104,0.310185,0.0833333,0.198148
156,0,0.440104,0.309259,0.0833333,0.198148
158,0,0.439844,0.309722,0.0838542,0.197222
160,0,0.440104,0.309722,0.0833333,0.199074
162,0,0.440104,0.309259,0.0833333,0.198148
164,0,0.440104,0.309259,0.0833333,0.198148
166,0,0.440104,0.309722,0.0833333,0.199074
168,0,0.440104,0.310185,0.0833333,0.198148
170,0,0.440104,0.309259,0.0833333,0.198148
172,0,0.440104,0.309722,0.0833333,0.197222
174,0,0.440104,0.309259,0.0833333,0.198148
176,0,0.440104,0.309722,0.0833333,0.199074
178,0,0.440104,0.309259,0.0833333,0.198148
180,0,0.440104,0.309722,0.0833333,0.197222
182,0,0.440104,0.309259,0.0833333,0.198148
184,0,0.439844,0.309722,0.0838542,0.199074
186,0,0.440104,0.309722,0.0833333,0.197222
188,0,0.439844,0.309722,0.0838542,0.197222
190,0,0.440104,0.309722,0.0833333,0.199074
192,0,0.440104,0.309259,0.0833333,0.198148
194,0,0.440104,0.309259,0.0833333,0.198148
196,0,0.440104,0.309722,0.0833333,0.197222
198,0,0.440104,0.309259,0.0833333,0.198148
200,0,0.440104,0.309722,0.0833333,0.197222
202,0,0.440104,0.309259,0.0833333,0.198148
204,0,0.440104,0.309259,0.0833333,0.198148
206,0,0.440104,0.309722,0.0833333,0.197222
208,0,0.439583,0.309722,0.0833333,0.197222
210,0,0.440104,0.309722,0.0833333,0.197222
212,0,0.440104,0.309259,0.0833333,0.198148
214,0,0.440104,0.309259,0.0833333,0.198148
216,0,0.440104,0.309722,0.0833333,0.197222
218,0,0.439844,0.309259,0.0838542,0.198148
220,0,0.440104,0.309722,0.0833333,0.199074
222,0,0.440104,0.309259,0.0833333,0.198148
224,0,0.439844,0.309722,0.0838542,0.197222
226,0,0.439844,0.309259,0.0838542,0.198148
228,0,0.440104,0.309722,0.0833333,0.199074
230,0,0.439844,0.309259,0.0838542,0.198148
